subid,agecat,Identification_1,Identification_2,Identification_3,Identification_4,attentioncheck,gender,nationality,religiosity,political,district,israelpk,palestpk,alternative,order,altblame,totisrael1,totisrael2,totpalest1,totpalest2,shiftisrael,shiftpalest,halevy,paltblame,ptotisrael1,ptotisrael2,ptotpalest1,ptotpalest2,phalevy
201,3,5,6,5,5,5,2,1,3,5,2,1,0,0,0,10,10,10,80,90,0,-10,90,0.1,0.1,0.1,0.8,0.9,0.9
202,3,7,6,7,7,5,1,3,3,2,6,0,1,1,1,5,20,25,80,70,5,-10,80,0.05,0.2,0.25,0.8,0.7,0.8
203,2,7,7,7,2,5,1,1,3,1,6,1,0,1,1,5,5,10,95,85,5,-10,95,0.05,0.05,0.1,0.95,0.85,0.95
204,4,7,6,6,7,5,1,1,4,2,5,0,1,0,0,0,5,0,95,100,5,-5,100,0,0.05,0,0.95,1,1
205,3,7,7,7,7,5,1,3,4,2,1,1,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
206,5,7,7,7,7,5,1,1,4,2,6,0,0,1,1,0,0,5,100,95,5,-5,100,0,0,0.05,1,0.95,1
207,4,4,3,3,7,5,1,1,2,1,4,1,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
208,4,7,7,7,7,5,1,3,4,3,1,1,1,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
209,2,7,7,6,7,5,1,3,2,2,4,1,0,1,1,10,10,10,90,80,0,-10,90,0.1,0.1,0.1,0.9,0.8,0.9
210,4,7,7,7,7,5,2,1,4,3,4,1,1,1,0,50,0,0,50,100,0,-50,100,0.5,0,0,0.5,1,1
211,4,5,5,5,5,5,1,3,4,4,6,0,1,0,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
212,3,7,7,7,7,5,1,1,4,1,4,1,1,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
213,6,7,7,6,6,5,2,3,4,4,6,1,1,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
214,3,3,1,1,2,5,1,3,2,3,4,0,1,0,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
215,4,7,7,6,6,5,1,1,3,2,1,1,1,1,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
216,2,2,3,3,4,5,1,1,4,5,2,0,1,1,1,33,50,33,50,34,-17,-16,50,0.33,0.5,0.33,0.5,0.34,0.5
217,3,4,4,3,2,5,1,3,4,6,2,1,1,0,1,0,60,60,40,40,0,0,40,0,0.6,0.6,0.4,0.4,0.4
218,2,7,7,7,7,5,1,3,3,2,5,1,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
219,2,7,5,4,1,5,2,1,4,4,5,1,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
220,5,7,7,7,7,5,1,3,4,1,1,0,1,1,1,0,30,20,70,80,-10,10,70,0,0.3,0.2,0.7,0.8,0.7
221,2,7,4,4,4,5,1,3,3,4,5,0,0,1,1,0,25,0,75,100,-25,25,75,0,0.25,0,0.75,1,0.75
222,2,5,4,3,3,5,1,3,3,4,1,1,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
223,2,7,7,7,7,5,1,1,4,3,5,1,1,0,0,0,10,0,90,100,10,-10,100,0,0.1,0,0.9,1,1
224,3,4,4,4,3,5,1,1,4,4,4,0,0,0,0,0,80,80,20,20,0,0,20,0,0.8,0.8,0.2,0.2,0.2
225,4,7,7,7,7,5,2,3,2,2,1,1,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
226,3,2,5,5,5,5,1,1,2,4,2,1,0,0,0,0,50,40,50,60,10,-10,60,0,0.5,0.4,0.5,0.6,0.6
227,7,6,6,6,5,5,2,1,3,4,5,1,0,0,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
228,3,7,7,7,5,5,2,3,4,6,2,1,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
229,2,7,7,3,7,5,1,3,4,1,5,1,0,0,1,0,0,10,100,90,10,-10,100,0,0,0.1,1,0.9,1
230,2,7,7,7,7,5,1,3,2,1,4,1,1,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
231,4,5,4,3,4,5,2,3,3,4,3,0,1,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
232,6,5,3,3,3,5,2,1,4,6,6,0,1,0,1,0,60,60,40,40,0,0,40,0,0.6,0.6,0.4,0.4,0.4
233,2,7,7,7,7,5,1,1,4,1,1,0,0,0,0,0,25,25,75,75,0,0,75,0,0.25,0.25,0.75,0.75,0.75
234,3,7,7,7,7,5,1,1,4,4,1,1,0,1,0,20,20,15,60,85,5,-25,85,0.2,0.2,0.15,0.6,0.85,0.85
235,3,7,7,7,7,5,2,1,4,3,2,1,0,1,1,0,100,100,0,0,0,0,0,0,1,1,0,0,0
236,4,7,7,7,7,5,1,1,4,5,1,0,1,0,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
237,3,7,7,7,7,5,2,1,3,3,2,1,1,0,1,0,25,25,75,75,0,0,75,0,0.25,0.25,0.75,0.75,0.75
238,4,7,7,7,6,5,1,3,3,5,5,1,1,1,1,40,50,30,50,30,-20,-20,50,0.4,0.5,0.3,0.5,0.3,0.5
239,3,1,2,3,4,5,2,1,3,3,6,0,0,0,0,7,58,60,35,40,-2,-5,40,0.07,0.58,0.6,0.35,0.4,0.4
240,3,7,7,7,7,5,2,3,3,1,4,0,0,1,1,3,10,7,90,90,-3,0,90,0.03,0.1,0.07,0.9,0.9,0.9
241,4,7,7,7,7,5,1,1,4,3,2,0,0,1,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
242,5,7,7,7,7,5,1,1,3,4,6,1,0,1,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
243,3,4,5,3,7,5,1,3,4,4,4,1,0,1,0,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
244,5,4,4,4,4,5,1,3,4,4,2,1,0,1,0,0,25,50,75,50,-25,25,50,0,0.25,0.5,0.75,0.5,0.5
245,3,7,7,7,7,5,1,1,3,1,2,1,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
246,5,1,1,3,1,5,1,3,4,6,4,0,1,1,1,0,50,100,50,0,50,-50,50,0,0.5,1,0.5,0,0.5
247,3,6,4,3,4,5,1,3,4,4,2,1,1,1,0,5,25,25,70,75,0,-5,75,0.05,0.25,0.25,0.7,0.75,0.75
248,3,6,6,6,6,5,1,3,4,4,1,1,0,1,1,0,100,100,0,0,0,0,0,0,1,1,0,0,0
249,3,6,6,6,5,5,2,1,3,3,1,1,0,1,1,10,5,10,95,80,5,-15,95,0.1,0.05,0.1,0.95,0.8,0.95
250,3,7,7,7,7,5,1,1,4,2,2,0,0,1,1,0,100,100,0,0,0,0,0,0,1,1,0,0,0
251,3,5,4,6,3,5,1,1,4,5,3,0,1,0,1,0,80,60,20,40,-20,20,20,0,0.8,0.6,0.2,0.4,0.2
252,3,7,7,7,7,5,2,1,3,3,1,1,0,0,1,0,100,10,0,90,-90,90,0,0,1,0.1,0,0.9,0
253,4,7,7,7,6,5,1,3,4,4,6,0,0,0,0,0,60,80,40,20,-20,20,20,0,0.6,0.8,0.4,0.2,0.2
254,4,7,6,6,7,5,1,1,3,3,1,1,0,1,0,5,25,15,70,85,10,-15,85,0.05,0.25,0.15,0.7,0.85,0.85
255,3,5,4,3,6,5,2,1,4,5,1,0,0,0,1,0,25,25,75,75,0,0,75,0,0.25,0.25,0.75,0.75,0.75
256,6,7,7,7,7,5,2,1,4,1,6,0,1,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
257,5,7,7,7,7,5,1,3,3,1,5,0,1,0,1,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
258,3,2,1,1,1,5,2,2,3,4,4,1,0,0,1,2.5,75,65,25,32.5,-10,7.5,25,0.03,0.75,0.65,0.25,0.33,0.25
259,3,7,7,7,2,5,2,1,4,5,2,1,1,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
260,3,7,7,7,7,5,1,1,4,1,6,0,0,0,0,0,50,20,50,80,30,-30,80,0,0.5,0.2,0.5,0.8,0.8
261,7,5,5,5,4,5,1,1,4,4,1,1,0,0,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
262,5,7,7,7,7,5,1,1,3,4,6,0,0,0,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
263,3,7,7,7,5,5,3,1,4,3,6,1,0,1,1,15,3,0,97,85,-3,-12,97,0.15,0.03,0,0.97,0.85,0.97
264,6,7,7,7,4,5,1,1,2,1,1,1,0,1,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
265,5,7,7,7,5,5,1,3,2,2,1,0,0,1,0,0,30,40,70,60,-10,10,60,0,0.3,0.4,0.7,0.6,0.6
266,3,6,6,5,7,5,2,3,4,4,1,0,0,1,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
267,5,7,7,4,7,5,2,3,4,5,6,0,1,0,0,0,75,75,25,25,0,0,25,0,0.75,0.75,0.25,0.25,0.25
268,3,4,4,6,4,5,1,1,4,3,6,1,0,1,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
269,3,7,7,4,4,5,1,3,2,2,3,1,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
270,3,7,7,7,7,5,1,1,2,2,2,0,1,1,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
271,3,3,3,3,3,5,1,1,2,4,5,0,1,1,0,10,70,100,20,0,-30,20,0,0.1,0.7,1,0.2,0,0
272,4,7,7,7,5,5,1,3,3,4,5,0,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
273,6,6,6,5,6,5,1,1,4,4,1,1,1,1,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
274,7,6,5,4,4,5,1,3,4,6,2,1,0,0,0,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
275,7,4,4,4,4,5,2,1,4,6,6,0,1,0,0,0,70,70,30,30,0,0,30,0,0.7,0.7,0.3,0.3,0.3
276,7,7,7,7,7,5,2,1,4,3,6,0,0,1,1,0,100,0,0,100,-100,100,0,0,1,0,0,1,0
277,5,7,7,7,7,5,1,3,4,1,1,0,0,0,0,0,100,0,0,100,100,-100,100,0,1,0,0,1,1
278,7,7,7,7,7,5,1,1,4,1,6,0,1,1,1,0,100,100,0,0,0,0,0,0,1,1,0,0,0
279,6,7,7,7,7,5,2,3,4,5,6,0,0,0,1,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
280,5,7,7,7,7,5,1,1,4,1,6,0,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
281,5,7,7,6,5,5,2,1,4,4,1,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
282,3,7,7,7,7,5,2,1,2,1,3,0,1,1,0,0,50,10,50,90,40,-40,90,0,0.5,0.1,0.5,0.9,0.9
283,5,7,7,7,7,5,1,3,4,1,1,0,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
284,6,7,7,7,7,5,2,1,4,2,7,0,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
285,3,7,7,5,7,5,2,3,4,3,1,0,0,0,0,0,25,22,75,78,3,-3,78,0,0.25,0.22,0.75,0.78,0.78
286,6,5,5,5,4,5,1,3,4,4,5,0,0,0,0,0,30,20,70,80,10,-10,80,0,0.3,0.2,0.7,0.8,0.8
287,7,7,7,6,7,5,2,1,4,4,2,0,0,1,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
288,7,7,7,7,7,5,2,1,3,3,6,0,1,1,1,10,10,10,90,80,0,-10,90,0.1,0.1,0.1,0.9,0.8,0.9
289,6,7,7,7,7,5,2,3,4,2,3,1,0,1,1,25,0,0,100,75,0,-25,100,0.25,0,0,1,0.75,1
290,6,7,6,5,5,5,2,1,4,2,2,1,0,1,0,10,0,0,90,100,0,-10,100,0.1,0,0,0.9,1,1
291,5,7,7,7,7,5,1,1,4,5,1,1,1,1,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
292,6,6,7,5,6,5,2,1,4,4,2,1,1,1,0,30,10,30,60,70,-20,-10,70,0.3,0.1,0.3,0.6,0.7,0.7
293,7,7,7,7,7,5,1,1,4,2,6,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
294,5,7,7,7,7,5,2,3,4,2,2,1,1,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
295,3,4,5,4,5,5,1,3,3,5,2,0,1,0,0,24,56,80,20,20,-24,0,20,0.24,0.56,0.8,0.2,0.2,0.2
296,6,6,5,3,4,5,1,1,3,2,1,1,1,0,0,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
297,5,7,7,7,7,5,1,1,3,1,5,1,0,1,1,0,0,10,100,90,10,-10,100,0,0,0.1,1,0.9,1
298,7,7,7,4,6,5,2,1,4,2,1,0,1,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
299,6,7,7,7,7,5,1,1,4,2,2,1,1,1,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
300,5,7,7,7,5,5,2,1,4,4,6,0,0,0,0,0,25,35,75,65,-10,10,65,0,0.25,0.35,0.75,0.65,0.65
301,5,7,7,7,6,5,2,1,4,5,1,1,0,1,0,10,5,5,85,95,0,-10,95,0.1,0.05,0.05,0.85,0.95,0.95
302,3,7,7,7,7,5,2,3,3,2,1,1,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
303,3,6,5,5,6,5,2,1,1,2,5,0,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
304,7,7,7,7,7,5,2,1,4,4,6,1,1,1,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
305,3,3,4,4,5,5,1,1,4,6,6,0,1,1,0,0,80,80,20,20,0,0,20,0,0.8,0.8,0.2,0.2,0.2
306,5,6,6,6,6,5,1,1,3,3,1,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
307,6,2,2,2,2,5,1,1,4,4,5,1,1,1,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
308,7,7,7,7,7,5,2,1,2,2,7,1,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
309,3,3,3,2,3,5,1,1,4,5,1,1,0,1,1,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
310,3,7,7,7,7,5,1,1,3,3,3,1,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
311,3,6,5,6,6,5,2,3,3,3,3,0,1,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
312,3,7,7,6,7,5,2,3,1,3,3,1,1,0,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
313,5,7,7,7,7,5,1,3,4,4,1,1,0,0,0,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
314,5,7,7,5,5,5,1,1,3,2,6,0,0,1,0,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
315,6,7,7,7,7,5,1,1,3,4,1,1,0,0,1,0,0,10,100,90,10,-10,100,0,0,0.1,1,0.9,1
316,3,7,7,7,7,5,2,1,3,6,5,1,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
317,7,1,1,1,1,5,2,1,4,4,2,1,1,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
318,6,3,3,3,3,5,2,1,4,5,5,1,1,1,0,0,65,65,35,35,0,0,35,0,0.65,0.65,0.35,0.35,0.35
319,6,7,7,7,7,5,1,1,4,2,1,1,1,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
320,3,7,7,7,7,5,1,1,4,4,6,1,0,1,0,20,20,10,60,90,10,-30,90,0.2,0.2,0.1,0.6,0.9,0.9
321,5,5,5,5,4,5,2,3,3,2,3,0,1,1,0,0,70,70,30,30,0,0,30,0,0.7,0.7,0.3,0.3,0.3
322,3,7,7,7,7,5,1,1,4,3,1,1,1,1,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
323,5,7,7,7,7,5,2,1,4,4,4,0,1,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
324,6,4,7,7,7,5,2,3,4,4,6,1,1,1,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
325,5,7,7,7,7,5,1,3,4,5,1,1,1,0,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
326,7,7,7,7,7,5,2,3,4,5,6,1,0,0,1,0,30,50,70,50,20,-20,70,0,0.3,0.5,0.7,0.5,0.7
327,6,7,7,7,1,5,2,1,4,4,6,0,0,1,1,0,30,40,70,60,10,-10,70,0,0.3,0.4,0.7,0.6,0.7
328,5,7,7,6,7,5,1,1,4,5,6,1,1,1,0,2,40,40,58,60,0,-2,60,0.02,0.4,0.4,0.58,0.6,0.6
329,7,7,7,7,7,5,2,1,4,4,6,1,0,0,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
330,3,7,6,6,4,5,1,1,4,3,5,1,1,0,1,0,0,10,100,90,10,-10,100,0,0,0.1,1,0.9,1
331,5,7,7,7,7,5,2,1,4,1,1,1,0,1,0,10,0,0,90,100,0,-10,100,0.1,0,0,0.9,1,1
332,7,7,6,7,7,5,2,3,4,5,2,1,0,0,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
333,6,7,6,6,6,5,1,1,2,4,1,0,0,0,0,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
334,6,7,7,7,7,5,1,1,4,1,6,1,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
335,7,7,7,7,7,5,2,1,4,5,6,1,1,1,0,10,40,45,50,55,-5,-5,55,0.1,0.4,0.45,0.5,0.55,0.55
336,7,7,7,7,7,5,2,3,4,4,1,1,0,0,0,0,25,25,75,75,0,0,75,0,0.25,0.25,0.75,0.75,0.75
337,6,7,7,7,7,5,1,3,1,2,5,0,1,1,0,0,100,40,0,60,60,-60,60,0,1,0.4,0,0.6,0.6
338,6,7,7,7,2,5,2,3,4,5,6,1,0,0,1,0,25,25,75,75,0,0,75,0,0.25,0.25,0.75,0.75,0.75
339,5,7,7,7,5,5,1,3,4,3,2,1,0,1,1,0,100,100,0,0,0,0,0,0,1,1,0,0,0
340,3,7,7,6,7,5,2,1,3,3,4,1,1,1,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
341,7,7,7,7,7,5,2,1,4,2,6,1,1,0,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
342,7,7,7,7,7,5,2,3,4,5,6,0,1,0,0,0,30,20,70,80,10,-10,80,0,0.3,0.2,0.7,0.8,0.8
343,5,5,4,4,4,5,3,2,3,7,4,0,1,1,1,0,95,95,5,5,0,0,5,0,0.95,0.95,0.05,0.05,0.05
344,7,3,3,3,4,5,1,1,1,2,3,1,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
345,4,7,7,7,7,5,1,3,4,2,1,0,1,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
346,6,6,6,4,7,5,2,1,4,4,6,1,0,1,0,3,10,10,87,90,0,-3,90,0.03,0.1,0.1,0.87,0.9,0.9
347,6,6,6,4,5,5,2,1,4,5,4,0,0,0,1,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
348,7,7,7,7,7,5,2,1,3,2,2,0,1,0,1,0,10,0,90,100,-10,10,90,0,0.1,0,0.9,1,0.9
349,5,5,5,3,5,5,2,1,4,5,5,1,1,1,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
350,4,7,7,7,7,5,2,1,3,4,4,1,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
351,7,7,7,7,7,5,2,1,4,4,2,1,1,0,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
352,5,7,7,6,7,5,1,3,2,3,1,1,1,1,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
353,7,7,7,7,7,5,2,1,1,1,6,0,1,1,0,20,50,50,30,50,0,-20,50,0.2,0.5,0.5,0.3,0.5,0.5
354,5,7,7,7,7,5,1,1,2,2,7,1,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
355,3,6,6,6,6,5,2,1,4,5,4,1,1,1,0,10,20,20,70,80,0,-10,80,0.1,0.2,0.2,0.7,0.8,0.8
356,6,7,7,7,5,5,2,1,3,4,7,0,1,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
357,7,7,7,5,7,5,2,1,4,5,1,0,0,1,0,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
358,3,7,7,7,7,5,2,1,3,1,4,0,0,1,1,10,50,50,50,40,0,-10,50,0.1,0.5,0.5,0.5,0.4,0.5
359,6,7,7,7,7,5,2,3,3,1,1,0,1,0,0,0,75,75,25,25,0,0,25,0,0.75,0.75,0.25,0.25,0.25
360,4,7,7,7,7,5,1,1,2,3,7,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
361,5,3,2,1,3,5,2,3,4,6,1,0,0,1,1,5,80,75,20,20,-5,0,20,0.05,0.8,0.75,0.2,0.2,0.2
362,5,5,5,4,4,5,2,3,4,3,4,1,0,0,0,0,0,10,100,90,-10,10,90,0,0,0.1,1,0.9,0.9
363,5,7,7,5,7,5,2,1,3,3,7,1,1,0,0,0,100,0,0,100,100,-100,100,0,1,0,0,1,1
364,6,7,7,7,7,5,2,3,4,4,1,1,0,1,0,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
365,6,4,2,2,1,5,2,1,4,7,2,0,0,1,1,10,60,30,40,60,-30,20,40,0.1,0.6,0.3,0.4,0.6,0.4
366,5,7,7,7,5,5,2,1,3,1,6,0,1,0,1,0,50,70,50,30,20,-20,50,0,0.5,0.7,0.5,0.3,0.5
367,5,7,7,7,7,5,2,3,3,2,1,1,1,1,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
368,7,7,7,7,7,5,2,1,4,5,4,1,1,1,1,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
369,7,7,7,3,6,5,2,1,4,4,7,1,0,1,0,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
370,5,7,7,7,7,5,2,1,4,2,4,0,1,0,1,0,100,0,0,100,-100,100,0,0,1,0,0,1,0
371,6,7,7,7,7,5,2,1,4,3,6,0,1,0,1,0,30,45,70,55,15,-15,70,0,0.3,0.45,0.7,0.55,0.7
372,7,7,7,7,6,5,2,1,4,6,3,1,1,1,1,0,60,60,40,40,0,0,40,0,0.6,0.6,0.4,0.4,0.4
373,5,7,7,7,7,5,2,1,4,4,1,1,0,1,1,0,100,0,0,100,-100,100,0,0,1,0,0,1,0
374,6,7,7,6,7,5,2,3,4,5,1,1,1,0,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
375,5,7,7,7,7,5,2,3,4,4,5,0,0,1,0,5,45,50,50,50,-5,0,50,0.05,0.45,0.5,0.5,0.5,0.5
376,5,7,7,7,5,5,2,1,4,7,1,0,1,0,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
377,5,7,7,6,6,5,2,1,4,4,2,0,1,0,1,0,45,45,55,55,0,0,55,0,0.45,0.45,0.55,0.55,0.55
378,7,7,7,6,7,5,2,3,4,4,2,0,0,1,0,0,100,10,0,90,90,-90,90,0,1,0.1,0,0.9,0.9
379,5,7,7,6,7,5,2,3,4,5,1,0,0,0,1,0,45,45,55,55,0,0,55,0,0.45,0.45,0.55,0.55,0.55
380,7,7,7,7,7,5,2,3,4,4,6,0,0,0,0,0,15,15,85,85,0,0,85,0,0.15,0.15,0.85,0.85,0.85
381,6,6,7,6,2,5,2,1,4,4,1,0,1,1,1,0,70,70,30,30,0,0,30,0,0.7,0.7,0.3,0.3,0.3
382,5,7,7,7,7,5,2,1,2,1,7,1,0,0,1,0,1,1,99,99,0,0,99,0,0.01,0.01,0.99,0.99,0.99
383,6,6,4,2,4,5,2,1,1,5,3,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
384,5,7,7,7,7,5,2,1,4,4,5,1,0,0,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
385,6,7,7,7,7,5,2,3,4,4,4,0,0,0,0,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
386,6,7,7,7,7,5,2,3,4,2,4,1,0,0,0,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
387,3,5,4,5,5,5,2,1,3,4,1,1,1,0,0,0,40,30,60,70,10,-10,70,0,0.4,0.3,0.6,0.7,0.7
388,6,4,4,4,7,5,2,1,1,1,3,0,0,1,0,3,27,27,70,73,0,-3,73,0.03,0.27,0.27,0.7,0.73,0.73
389,7,7,7,7,7,5,2,1,4,3,1,1,1,1,0,20,0,0,80,100,0,-20,100,0.2,0,0,0.8,1,1
390,7,7,7,7,7,5,2,1,2,3,1,1,1,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
391,5,7,6,6,4,5,2,1,3,2,5,1,0,1,1,10,0,0,100,90,0,-10,100,0.1,0,0,1,0.9,1
392,6,7,7,7,6,5,2,3,1,1,3,1,0,0,0,20,20,20,60,80,0,-20,80,0.2,0.2,0.2,0.6,0.8,0.8
393,3,7,5,6,4,5,2,2,3,5,3,0,0,0,0,0,95,60,5,40,35,-35,40,0,0.95,0.6,0.05,0.4,0.4
394,6,7,4,4,4,5,2,3,4,5,6,1,1,0,0,0,50,30,50,70,20,-20,70,0,0.5,0.3,0.5,0.7,0.7
395,5,7,7,7,7,5,2,3,4,2,2,0,1,1,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
396,5,7,7,7,7,5,2,1,2,2,4,1,0,0,0,0,2,0,98,100,2,-2,100,0,0.02,0,0.98,1,1
397,6,4,2,2,3,5,2,1,4,4,2,1,1,1,0,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
398,4,7,7,7,7,5,1,3,2,5,1,1,0,1,1,10,5,0,95,90,-5,-5,95,0.1,0.05,0,0.95,0.9,0.95
399,5,7,7,7,7,5,1,1,4,4,1,0,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
400,4,6,6,3,6,5,1,1,4,3,2,0,0,0,1,0,60,60,40,40,0,0,40,0,0.6,0.6,0.4,0.4,0.4
401,4,5,5,5,5,5,2,2,2,4,5,1,1,0,0,20,30,50,50,50,-20,0,50,0.2,0.3,0.5,0.5,0.5,0.5
402,3,6,6,6,7,5,2,2,4,4,5,1,1,1,0,33,34,50,33,50,-16,-17,50,0.33,0.34,0.5,0.33,0.5,0.5
403,6,7,6,5,7,5,2,1,4,5,1,1,1,0,1,0,40,20,60,80,-20,20,60,0,0.4,0.2,0.6,0.8,0.6
404,3,7,7,7,3,5,1,3,3,2,4,0,1,0,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
405,5,6,6,4,6,5,2,1,4,4,2,0,0,0,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
